,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85,Total,,,,,,,,,,,,,,,,,,,,,,,
Negative/Nil income,"330,462","71,405","61,323","43,840","48,900","78,981","79,097","33,038","10,747","757,786",,,,,,,,,,,,,,,,,,,,,,,
$1-$149,"134,491","27,919","12,060","9,594","12,450","22,296","30,627","13,752","4,270","267,465",,,,,,,,,,,,,,,,,,,,,,,
$150-$299,"77,596","63,524","41,256","31,010","35,151","52,145","66,614","37,641","11,550","416,491",,,,,,,,,,,,,,,,,,,,,,,
$300-$399,"30,863","56,950","59,062","44,983","55,112","84,762","180,976","144,055","42,541","699,302",,,,,,,,,,,,,,,,,,,,,,,
$400-$499,"30,428","52,988","54,144","41,687","52,209","77,567","149,579","104,767","42,602","605,976",,,,,,,,,,,,,,,,,,,,,,,
$500-$649,"39,988","76,758","78,110","52,205","55,394","75,407","118,233","71,324","20,258","587,669",,,,,,,,,,,,,,,,,,,,,,,
$650-$799,"25,466","92,065","107,237","68,592","64,687","77,647","90,066","52,392","13,997","592,149",,,,,,,,,,,,,,,,,,,,,,,
$800-$999,"16,599","106,864","190,101","124,179","113,892","117,098","83,914","36,095","9,282","798,018",,,,,,,,,,,,,,,,,,,,,,,
"$1,000-$1,249","8,305","89,415","253,148","183,954","161,923","155,534","89,541","30,772","6,039","978,619",,,,,,,,,,,,,,,,,,,,,,,
"$1,250-$1,499","2,729","50,515","204,733","162,272","137,540","118,420","56,744","16,834","3,350","753,136",,,,,,,,,,,,,,,,,,,,,,,
"$1,500-$1,749","1,360","26,445","177,553","162,506","137,333","110,911","44,287","13,442","3,391","677,223",,,,,,,,,,,,,,,,,,,,,,,
"$1,750-$1,999",575,"12,377","123,848","139,917","118,911","88,257","29,284","7,764","1,687","522,629",,,,,,,,,,,,,,,,,,,,,,,
"$2,000-$2,999",521,"12,371","199,901","303,707","253,897","166,514","44,929","10,657","2,278","994,769",,,,,,,,,,,,,,,,,,,,,,,
"$3,000-$3,499",159,"1,830","37,621","82,032","71,957","44,958","12,505","3,275",778,"255,125",,,,,,,,,,,,,,,,,,,,,,,
"$3,500 or more",461,"2,248","41,765","138,287","157,499","97,946","30,909","9,263","2,409","480,789",,,,,,,,,,,,,,,,,,,,,,,
Total,"749,330","806,829","1,791,232","1,716,108","1,589,680","1,465,399","1,187,174","645,113","210,440","10,161,299",,,,,,,,,,,,,,,,,,,,,,,
