Postcode,Highest Average Taxable Income,Suburb,Latitude,Longitude
2028,266381,Double Bay,,
2030,230597,"Dover Heights, HMAS Watson, Rose Bay North, Wastsons Bay, Vaucluse",,
2023,218902,Bellevue Hill,,
2027,218528,"Darling Point, Edgecliff, HMAS Rushcutters, Point Piper",,
2025,212881,Woollahra,,
2063,191225,Northbridge,,
2088,188324,"Mosman, Spit Junction",,
2061,186719,"Kirribilli, Milsons Point",,
2024,186705,"Bronte, Waverly",,
2110,180854,"Hunters Hill, Woolwich",,
3142,222967,"Hawksburn, Toorak",,
3944,221236,Portsea,,
3206,158146,"Albert Park, Middle Park",,
3186,153721,"Brighton, Brighton North",,
3144,143674,"Kooyong, Malvern, Malvern North",,
3002,142604,East Melbourne,,
3441,138485,Mount Macedon,,
3143,127671,"Armadale, Armadale North",,
3062,127624,Somerton,,
3122,127443,"Auburn South, Gelnferrie South, Hawthorn, Hawthorn North, Hawthorn West",,
4007,119605,"Ascot, Hamilton, Hamilton Central",,
4155,117912,Chandler,,
4171,116768,"Balmoral, Bulimba, Hawthorne",,
4065,114794,Bardon,,
4005,113555,"New Farm, Teneriffe",,
4011,102558,"Clayfield, Hendra",,
4064,102188,"Miltion, Miltion BC, Paddington",,
4069,101199,"Brookfield, Chapel Hill, Fig Tree, Pocket, Kenmore East, Kenmore Hills, Pinjarra Hills, Pullenvale, Upper Brokfield",,
4060,100673,"Ashgrove, Ashgrove East",,
4483,100302,Birdsville,,
5061,112998,"Hyde Park, Malvern, Unley, Unley Park",,
5151,110381,Piccadilly,,
5725,103726,"Olympic Dam, Roxby Downs, Roxby Downs Station",,
5081,102237,"Collinswood, Gilberton, Medinidie, Medindie Gardens, Vale Park, Walkerville",,
5152,101897,"Cleland, Crrafers, Crafers West, Stirling",,
5006,100557,"North Adelaide, North Adelaide Melbourne St",,
5269,96566,"Custon, Pine Hill, Walsely",,
5066,95630,"Beaumont, Burnside, Erindale, Hazelwood Park, Stonyfell, Waterfall Gully, Wattle Park",,
5069,94126,"College Park, Evandale, Hackney, Maylands, St Peters, Stephney",,
5064,92100,"Glen Osmond, Glenunga, Mount Osmond, Myrtle Bank, St Georges, Urrbrae",,
6011,229805,"Cottesloe, Peppermint Grove",,
6015,155436,City Beach,,
6012,154414,Mosman Park,,
6009,152665,"Broadway Nedlands, Crawley, Dalkeith, Nedlands, Nedlands DC",,
6010,125935,"Claremont, Claremont North, Karrakatta, Mount Claremont, Swanbourne",,
6229,115911,"Picton, Picton East",,
6159,113435,North Fremantle,,
6721,111043,"Indee, Mundabullanagana, Pardoo, Port Hedland, Redbank, Strelley, Wallareenya, Wedgefield",,
6153,110764,"Applecross, Applecross North, Ardoss, Brentwood, Canning Bridge Applecross, Mount Pleasant",,
6029,107954,Trigg,,
7258,120698,"Breadalbane, Relbia, White Hills",,
7024,79259,Cremorne,,
7005,75313,"Dynnyrne, Lower Sandy Bay, Sandy Bar",,
7053,73140,"Bonnet Hill, Taroona",,
7007,71574,"Mount Nelson, Tolmans Hill",,
7004,71023,"Battery Point, South Hobart",,
7170,70840,"Acton Park, Cambridge, Mount Rumney, Roches Beach, Seven Mile Beach",,
7162,68218,"Birches Bay, Woodbridge",,
7470,67879,Rosebery,,
7000,66517,"Glebe, Hobart, Mount Stuart North Hobart, Queens Domain, West Hobart",,
