PortalID,adviserCode,ValueDate,AcctId,SleeveID,Model,AccountTypeDescription,SecCode,AssetClass,GICS, Price ,Quantity,MarketValue
19,1201,31/01/2018,11859,1486,Cash,Superfund (Accumulation),MAQ0789AU,Cash,,$0.97,36098,35015.06
19,1201,31/01/2018,11859,1490,Cash,Superfund (Accumulation),IOF0145AU,Australian Fixed Interest,,$1.07,18591,19892.37
19,1201,31/01/2018,11865,1555,Cash,Superfund (Accumulation),PER0116AU,Australian Equity,,$2.03,61232,124300.96
19,1201,31/01/2018,11865,1555,Cash,Superfund (Accumulation),TLS,Australian Equity,Telecommunication Services,$3.67,17571,64485.57
19,1201,31/01/2018,11865,1557,Equities,Superfund (Accumulation),RGL0002AU,Australian Equity,,$1.75,44076,77133
19,1201,31/01/2018,11865,1557,Equities,Superfund (Accumulation),PER0439AU,Australian Equity,,$1.50,98296,147444
19,1201,31/01/2018,11865,1557,Equities,Superfund (Accumulation),RGL0004AU,Australian Equity,,$2.26,36202,81816.52
19,1201,31/01/2018,11865,1557,Equities,Superfund (Accumulation),PIM0028AU,Australian Equity,,$1.25,117705,147131.25
19,1201,31/01/2018,11865,1557,Equities,Superfund (Accumulation),OPS7755AU,Australian Equity,,$1.23,122536,150719.28
19,1201,31/01/2018,11865,1559,Equities,Superfund (Accumulation),MGE0001AU,International Equity,,$2.13,51930,110610.9
19,1201,31/01/2018,11865,1559,Equities,Superfund (Accumulation),PLA0100AU,International Equity,,$2.80,54596,152868.8
19,1201,31/01/2018,11865,1559,Equities,Superfund (Accumulation),SCH0030AU,International Equity,,$0.90,194024,174621.6
19,1201,31/01/2018,11865,1559,Equities,Superfund (Accumulation),SST0050AU,International Equity,,$1.52,122170,185698.4
19,1201,31/01/2018,11865,1559,Equities,Superfund (Accumulation),LAZ0025AU,International Equity,,$1.46,75072,109605.12
19,1201,31/01/2018,11865,1560,Equities,Superfund (Accumulation),EQI0028AU,International Equity,,$2.44,25230,61561.2
19,1201,31/01/2018,11865,1560,Equities,Superfund (Accumulation),PMC0002AU,International Equity,,$1.99,55088,109625.12
19,1201,31/01/2018,11865,1562,Fixed Interest,Superfund (Accumulation),MAQ0211AU,Australian Fixed Interest,,$0.99,212720,210592.8
19,1201,31/01/2018,11865,1567,Fixed Interest,Superfund (Accumulation),CSA0046AU,International Fixed Interest,,$1.03,75249,77506.47
19,1201,31/01/2018,11865,1567,Fixed Interest,Superfund (Accumulation),ETL0019AU,International Fixed Interest,,$0.98,74890,73392.2
19,1201,31/01/2018,11865,1567,Fixed Interest,Superfund (Accumulation),OMF0005AU,Australian Fixed Interest,,$1.37,159357,218319.09
19,1201,31/01/2018,11865,1568,Cash,Superfund (Accumulation),IOF0111AU,Cash,,$1.05,156894,164738.7
19,1201,31/01/2018,11865,1568,Cash,Superfund (Accumulation),IOF0145AU,Australian Fixed Interest,,$1.07,65799,70404.93
19,1201,31/01/2018,11865,1569,Alternatives,Superfund (Accumulation),FSF1086AU,Alternative Investments,,$1.24,56296,69807.04
